Participant,version,ParticipantID,Age,Gender,Subj_Hunger,Hrs_Last_Meal,Trial,Block,Image,Craving_rating,Resp_Key,Descision_Time,Post_Desire,date,BottomRight,PsychoPy_Experiment,Choice,Choice_EC
0,version3,0105a,22,female,7,14,1,1,0007.jpg,7,right,3.136692213,6,2018_Feb_07_0909,TRUE,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,2,1,0021.jpg,2,left,2.524421732,1,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,3,1,0150.jpg,6,right,3.273988427,4,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,4,1,0148.jpg,3,left,2.109670954,3,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,5,1,0009.jpg,5,left,3.154016258,3,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,6,1,0121.jpg,2,left,1.637095484,1,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,7,1,0042.jpg,3,left,2.094781023,1,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,8,1,0027.jpg,7,right,0.869409975,7,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,9,1,0043.jpg,6,right,1.945135545,4,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,10,1,0117.jpg,6,right,1.212707559,5,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,11,1,0138.jpg,4,left,1.310598235,2,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,12,1,0124.jpg,3,left,2.419177702,3,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,13,1,0048.jpg,4,left,1.106764144,2,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,14,1,0036.jpg,3,left,1.020770259,2,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,15,1,0094.jpg,5,right,1.161673574,2,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,16,1,0006.jpg,5,right,1.737063186,4,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,17,1,0013.jpg,1,left,1.38295245,1,2018_Feb_07_0909,,exp_resist_1,RESIST,0
0,version3,0105a,22,female,7,14,18,1,0016.jpg,7,right,1.433325988,5,2018_Feb_07_0909,,exp_resist_1,DISTRACT,1
0,version3,0105a,22,female,7,14,19,1,0128.jpg,4,left,1.68605848,3,2018_Feb_07_0909,,exp_resist_1,RESIST,0
