ExperimentName,Subject,Hunger.RESP,LastMeal.RESP,Block,Blocklist,Blocklist.Cycle,Blocklist.Sample,BlockNumber,Attribute3,CravingRating.RESP,CravingRating.RT,Effectiveness.RESP,Effectiveness.RT,Effort.RESP,Effort.RT,FoodPics,FoodStim,Image[Trial],ImageType,Procedure[Trial],Running[Trial],StratList,StratQ,StratQTrial,TrialList,TrialList.Cycle,TrialList.Sample,TrialNumber
SRS_1,109a,4,3,9,1,1,1,0,resist,1,1301,5,6335,2,2642,32,0056.jpg,0056.jpg,2,TrialProc,TrialList,45,resist,resist,1,1,1,1
SRS_1,109a,4,3,9,1,1,1,0,resist,5,1704,5,5758,4,5232,30,0049.jpg,0049.jpg,2,TrialProc,TrialList,37,resist,resist,2,1,2,2
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,1,1214,6,3716,2,4815,47,0132.jpg,0132.jpg,3,TrialProc,TrialList,6,reappraisal,reappraisal,3,1,3,3
SRS_1,109a,4,3,9,1,1,1,0,resist,6,2408,5,3745,5,3818,39,0089.jpg,0089.jpg,2,TrialProc,TrialList,54,resist,resist,4,1,4,4
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,3,2138,6,4974,2,4231,3,0009.jpg,0009.jpg,1,TrialProc,TrialList,4,reappraisal,reappraisal,5,1,5,5
SRS_1,109a,4,3,9,1,1,1,0,resist,6,2782,5,3224,5,3735,49,0292.jpg,0292.jpg,3,TrialProc,TrialList,34,resist,resist,6,1,6,6
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,2,3081,4,4180,1,3884,11,0021.jpg,0021.jpg,1,TrialProc,TrialList,22,reappraisal,reappraisal,7,1,7,7
SRS_1,109a,4,3,9,1,1,1,0,resist,4,4369,6,4257,4,5487,22,0155.jpg,0155.jpg,2,TrialProc,TrialList,43,resist,resist,8,1,8,8
SRS_1,109a,4,3,9,1,1,1,0,resist,7,2867,5,3069,6,1914,31,0055.jpg,0055.jpg,2,TrialProc,TrialList,51,resist,resist,9,1,9,9
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,5,1709,7,2528,5,2946,48,0166.jpg,0166.jpg,3,TrialProc,TrialList,20,reappraisal,reappraisal,10,1,10,10
SRS_1,109a,4,3,9,1,1,1,0,resist,4,2396,4,6088,3,6908,58,0441.jpg,0441.jpg,3,TrialProc,TrialList,59,resist,resist,11,1,11,11
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,3,3280,4,3018,5,6081,8,0042.jpg,0042.jpg,1,TrialProc,TrialList,24,reappraisal,reappraisal,12,1,12,12
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,3,2342,6,3798,3,3406,57,0357.jpg,0357.jpg,3,TrialProc,TrialList,1,reappraisal,reappraisal,13,1,13,13
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,5,3325,6,5399,4,3015,7,0036.jpg,0036.jpg,1,TrialProc,TrialList,14,reappraisal,reappraisal,14,1,14,14
SRS_1,109a,4,3,9,1,1,1,0,resist,5,1958,5,2800,5,3392,10,0048.jpg,0048.jpg,1,TrialProc,TrialList,50,resist,resist,15,1,15,15
SRS_1,109a,4,3,9,1,1,1,0,resist,4,3272,4,2628,2,2602,52,0164.jpg,0164.jpg,3,TrialProc,TrialList,46,resist,resist,16,1,16,16
SRS_1,109a,4,3,9,1,1,1,0,resist,1,802,6,4987,1,1723,44,0514.jpg,0514.jpg,3,TrialProc,TrialList,42,resist,resist,17,1,17,17
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,7,1630,6,2789,6,2613,56,0293.jpg,0293.jpg,3,TrialProc,TrialList,28,reappraisal,reappraisal,18,1,18,18
SRS_1,109a,4,3,9,1,1,1,0,resist,6,1740,6,2859,4,8560,36,0080.jpg,0080.jpg,2,TrialProc,TrialList,58,resist,resist,19,1,19,19
SRS_1,109a,4,3,9,1,1,1,0,reappraisal,5,2217,7,3589,5,3549,5,0016.jpg,0016.jpg,1,TrialProc,TrialList,15,reappraisal,reappraisal,20,1,20,20
SRS_1,109a,4,3,10,2,1,2,20,reappraisal,6,2235,5,4792,6,3232,53,0165.jpg,0165.jpg,3,TrialProc,TrialList,16,reappraisal,reappraisal,1,2,21,1
SRS_1,109a,4,3,10,2,1,2,20,resist,5,2087,6,1765,4,2390,18,0138.jpg,0138.jpg,1,TrialProc,TrialList,48,resist,resist,2,2,22,2
SRS_1,109a,4,3,10,2,1,2,20,resist,1,1278,5,3132,2,2126,28,0186.jpg,0186.jpg,2,TrialProc,TrialList,32,resist,resist,3,2,23,3
